Taxonomy,,,,,,,,Page Numbers,,,Geography,,,,,Human Interact.,,Habitat Preference,,,,Social Behavior,,,,,,,,Foraging Location,,,,,,,Diet,,,,,,,,,,,,,,,,,,,Strategy,,,,,,,Breeding Season,,Nest Site,,,,,Nest Substrate,,,Nest Construction,,,,Breeding Info,,,,,,,,,Distribution,,,Extinction Risk,,,,,,,,,,,Comments,,,Mitchell et al. Plumage Color,,,,,,,,,,,,,,HabBreadth Columns from  Ducatez et al 2014,,,,,,"Gen. Length (Bird et al., 2020)",,,,,,,,,,,,Ducatez_etal_2020,,,,,,,,,,,,,,,,,,,Burgio et al 2019 Inferred,,,,,,,,,,,,,,,,,,,,,,,,,
family,subfamily,genus,common name,taxon,taxon_2 (matching),synonyms ,authority,HBW #,Juni #,Fors #,Continent,Countries,Isl. Endemic,Introduced,Migratory,Hunting,Pet Trade,Primary,Secondary,Third,Other,Comm. Roost,Mating system,Single,Pairs,Family Groups,Small Groups < 10,Med. Groups (10 - 100),Large groups (100+),Water,Ground,Vegetation,Canopy,Subcanopy,Air,Other,Crop Pest,Guild,Main Diet,Carrion,Arthropods,Insects,Larvae,"""Inverts""",Nectar,Seed,Grain,Nut,Fruit,Berries,Flowers,Leaf Shoots,Roots,Leaf Bud,Other,Digging,Scavenging,Flower_Probe,Gleaning,Excavate bark,Graze,Other,Start,Stop,Tree,Limb,T. termite ,A. termite,Other,Cavity,Hollow,Other,Existing,Excavate,Floor,Other,Min Eggs,Max Eggs,Incubation,Fledge,Egg shape,Egg Length,Egg Width,Colonial,Generation time,Range Size,Elev Min,Elev Max,IUCN Status,IUCN Category,Trend,Risk 1,Risk 2,Contraction,Exploitation,Other (Invasives/disease/etc),Habitat Loss,Mature Popln,Popln Est,Comments1,Comments2,Comments3,Colourfulness,Complexity,GlobalUniqueness,LocalUniqueness1,LocalUniqueness3,LocalUniqueness10,Yellow,Blue,Red,Orange,Green,Black,White,Grey,Habitat breadth (Within-class co-occurrence index; multiplicative beta),Habitat breadth (co-occurrence among species from all four classes; multiplicative beta),Habitat breadth (Within-class co-occurrence index; additive beta),Habitat breadth (co-occurrence among species from all four classes; additive beta),Number-habitat-classes,Total-number-IUCN-habitat-categories,Adult survival,Age at first reproduction,Maximum longevity,GenLength,Range centroid of latitude,Body mass,Mean clutch size,Minimum altitude,Maximum altitude,Migrant,Extent of Occurrence (breeding/resident),Forest,BiogeographicRange,ResearchEffort,BodyMass,MigratoryBehavior,HabitatBreadth,Insularity,Urban,TotalInnovations,TotalFoodTypeInnovations,TotalTechnicalInnovations,InnovationYesOrNo,FoodTypeInnovationYesOrNo,TechnicalInnovationYesOrNo,IUCNStatus2019,PopulationTrend2019,HabitatDestruction,Overexploitation,InvasiveSpecies,CriterionB,length (cm),mass (g),tail (mm),carrion,inverts,snails,pollen,nectar,seed,nut,fruit,flower,plant,roots,fungi,water,ground,vegetation,subcanopy,canopy,dig,scavenge,flowerprobe,glean,excavate,graze
Psittacidae,,Agapornis,Grey-headed Lovebird,Agapornis canus,Agapornis_canus,Agapornis cana,"Gmelin, 1788",,385,330,Africa,Madagascar,Y,Y,N,,Y,Coastal plain ,forest edge,degraded forest,cultivated land,,,,,,1,1,,,1,1,,,,,1,,grass seeds,,,,,,,1,1,,,,,,,,rice,,,,,,1,,Nov,Apr,1,,,,,1,1,,1,,"bark, leaves,grass",,3,6,23,43,Rounded,19.2,16.0,,,,,1500,LC,,stable,,,,,,,,,,,,0.561529753,0.35704626,494.6549631,0.39777552,1.638432267,7.237360734,0.010753659,0.000629528,0,0,0.431790872,0.09492376,0.405520467,0.056381715,3.510614244,3.596623662,3332.166667,6307.333333,3,6,0.60839112,0.97606559,13.13115679,2.724363205,-19.07,30,4.5,0,1500,Not a Migrant,689000,0,Africa,2,30,1,3.510614244,1,0,0,0,0,0,0,0,Least-Concern,stable,0,0,0,NO,15,26.5,46,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Psittacidae,,Agapornis,Fischer's Lovebird,Agapornis fischeri,Agapornis_fischeri,,"Reichenow, 1887",,39,338,Africa,"Tanzania, Rwanda, Burundi",N,Y,N,,Y,Wooded grassland,open grassland,,cultivated land,,,,,,1,1,1,,1,1,,,,,,,grass seeds,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,1,,,,,1,1,base of fronds on palm trees,1,,bark and grass,,3,8,23,38,Rounded,23.3,17.0,1,,,1100,2000,NT,,decreasing,pet trade,,,1,,,,,requires daily water,,,0.525646739,0.395720782,435.0116751,0.461934452,1.575250603,5.933710103,0.014594063,0.011482734,0.007730268,0.098167528,0.700051989,0.090413287,0.025886464,0.051673666,2.202909648,2.308038585,2095.666667,4069,2,3,0.54709572,0.939409561,13.75413692,2.760937773,-3.02,48.3,5.5,1100,2200,Not a Migrant,306000,0,Africa,29,48.3,1,2.202909648,0,0,0,0,0,0,0,0,Near-Threatened,decreasing,1,1,1,NO,15,50,40.7,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Psittacidae,,Agapornis,Nyasa Lovebird,Agapornis lilianae,Agapornis_lilianae,,"Shelley, 1894",,391,339,Africa,"Zambia, Zimbabwe, Malawi, Tanzania",N,N,N,,Y,Mopane and Acacia Woodland,riparian forests,,,Y,,,,,,1,1,,1,1,,,,,1,,"grass seeds, tree seeds, herb seeds",,,,,,,1,1,,,1,1,,,1,,,,,,,1,,Jan,Feb,1,,,,,1,,buffalo weaver nests,1,,"stalks, bark",,,8,22,44,slightly elliptical,20.6,16.6,,,,600,1000,NT,,decreasing,pet trade,habitat loss,1,1,,1,,,found near water,"breeding months vary by location: Sep in Zimbabwe, Jan-July in Zambia",,0.439596403,0.3801531,436.4658421,0.399747734,1.265249448,4.667878038,0.056058066,0.001485252,0.024019568,0.056096267,0.767338234,0.073576614,0.013324299,0.008101701,2.730146341,2.921846528,4434.5,9493,2,4,0.529227398,0.89278455,13.52611272,3.495033392,-11.77,37.3,5.5,0,0,Not a Migrant,533000,1,Africa,10,37.3,1,2.730146341,0,0,0,0,0,0,0,0,Near-Threatened,decreasing,1,1,0,NO,15.5,37.3,37.6,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Psittacidae,,Agapornis,Black-cheeked Lovebird,Agapornis nigrigenis,Agapornis_nigrigenis,,"Sclater, 1906",,392,340,Africa,"Zambia, Zimbabwe",N,N,N,,Y,Mopane Woodland,river velleys,,,Y,,,,,1,,,,1,1,,,,,1,,seeds,,,,,,,1,1,,1,1,,,,1,,,,,,,1,,Nov ,Dec,,,,,,,,,,,,Builds domed nest out of bark within nestbox in captivity,,,24,40,Elliptical,21.4,16.8,,,6000,600,1000,VU,C2a(ii),decreasing,"< 10000 mature, declining, all mature in 1 subpopln",,1,1,,,,,found near water,,,0.372034219,0.309233119,342.3419026,0.282352975,0.88134921,3.286932498,0.004921226,0.000392804,0.001335596,0.018179614,0.768510873,0.164035498,0.023443929,0.01918046,2.666476136,2.677574171,1944.666667,3846,3,3,0.534928533,0.907377126,14.01128084,2.770009832,-16.86,40.5,5.5,0,0,Not a Migrant,17500,1,Africa,21,40.5,1,2.666476136,0,0,0,0,0,0,0,0,Vulnerable,decreasing,1,1,1,NO,13.5,40,42.6,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Psittacidae,,Agapornis,Yellow-collared Lovebird,Agapornis personatus,Agapornis_personatus,,"Reichenow, 1887",,390,338,Africa,"Tanzania, Kenya",N,N,N,,Y,Wooded grassland,,,,,,,,,1,1,1,,1,1,,,,,,,seeds,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,1,1,swift nests,1,,long twigs and strips of bark,,3,8,23,44,Rounded,23.3,17.0,1,,,2200,1800,LC,,stable,pet trade,,,1,,,,,requires daily water,,,0.589044941,0.380735922,411.0946631,0.443603702,1.414095215,5.199010671,0.057624173,0.001868241,0.006271774,0.005005729,0.544762794,0.273507412,0.026454896,0.084504981,0.999431172,0.999635036,0,0,1,1,0.552679739,0.954535681,14.12713305,2.826932733,-5.94,52.38,5.5,1100,1800,Not a Migrant,224000,0,Africa,9,52.38,1,0.999431172,0,0,0,0,0,0,0,0,Least-Concern,stable,0,0,0,NO,15,45,41.6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Psittacidae,,Agapornis,Red-headed Lovebird,Agapornis pullarius,Agapornis_pullarius,Agapornis pullaria,"Linnaeus, 1758",,386,331,Africa,West and central Africa,N,N,N,,,Secondary forest,savannah woodland,lightly timbered grassland,cultivated land,Y,,,1,,1,1,1,,1,1,,,,,1,,seeds,,,,,,,1,1,,1,1,,,,1,,,,,,,1,,May,Oct,1,,1,1,old woodpecker nests,1,1,old woodpecker nests,1,1,"seed husks, bark, grass, leaves",,3,6,22,42,Rounded,21.4,16.8,,,,,2000,LC,,decreasing,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.819119815,3.066853775,4320.5,9206.25,3,4,0.569613266,1.013122717,14.40067282,3.427694275,4.7,39.3,4,0,2000,Full Migrant,8360000,1,Africa,2,39.3,3,2.819119815,1,0,0,0,0,0,0,0,Least-Concern,decreasing,0,0,0,NO,15,39.3,16.2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Psittacidae,,Agapornis,Rosy-faced Lovebird,Agapornis roseicollis,Agapornis_roseicollis,,"Vieillot, 1818",,389,336,Africa,"Namibia, South Africa, Botswana, Angola",N,N,N,,Y,Dry woodland,savannah woodland,subdesert steppe,cultivated land,Y,,,,,1,1,1,,1,1,,,,,1,,seeds,,,,,,,1,,,,,1,,,1,,,,,,,1,,Feb,Mar,,,,,"cliffs, buildings, weaver nests",1,,weaver nests,1,,"bark, leaves,grass",no new material added when using weaver nests,4,6,23,43,Rounded,23.8,17.6,1,,,0,1600,LC,,decreasing,pet trade,,,1,,,,,requires daily water,,,0.458906937,0.436194141,387.2908001,0.449501155,1.446693244,5.19002091,0.004929011,0.017829239,0.021090512,0.022622691,0.763123888,0.075520509,0.039204528,0.055679622,2.209307764,2.267692696,1724.666667,3350.666667,2,3,0.576915502,0.997571037,15.41970936,3.049665722,-20.62,53.83,5,0,1500,Not a Migrant,774000,0,Africa,91,53.83,1,2.209307764,0,0,0,0,0,0,0,0,Least-Concern,decreasing,0,0,0,NO,16,54.5,31.6,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Psittacidae,,Agapornis,Black-collared Lovebird,Agapornis swindernianus,Agapornis_swindernianus,,"Kuhl, 1820",,388,334,Africa,West and central Africa,N,N,N,,,lowland evergreen forests,,,,Y,,,,,1,,,,,,1,,,,1,,figs,,,,,1,,1,1,,1,,1,,,,,,,,,,1,,July,,,,,1,,,,,,,,,,,,,,,,,,,,1800,LC,,stable,,,,,,,,,,,,0.423023155,0.428905265,368.2646714,0.184489087,0.774445197,3.388547949,0.049418086,0.005658529,0.002871346,0.001969917,0.686011489,0.239209062,0.004897051,0.00996452,1.469689958,1.503215259,2031,4618,1,2,0.706470274,1.038234678,13.58299778,3.336200295,1.27,39.98,NA,700,1200,Not a Migrant,3020000,1,Africa,1,39.98,1,1.469689958,0,0,0,0,0,0,0,0,Least-Concern,decreasing,0,0,0,NO,13,40,34.1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Psittacidae,,Agapornis,Black-winged Lovebird,Agapornis taranta,Agapornis_taranta,,"Stanley, 1814",,387,334,Africa,Etheopia,N,N,N,,Y,highland forest,,,,Y,,,,,1,,,,,,1,,,,1,,figs,,,,,,,1,,,1,1,,,,,,,,,,,1,,,,1,,,,"wall cavity, weaver nest",1,,,1,,"twigs, grass, leaves, feathers",,3,8,25,50,Rounded,24.3,18.9,,,,1800,3200,LC,,increasing,pet trade,chemical spraying on crops,,,,,,,,,,0.324511333,0.422467586,334.5805783,0.237381894,0.747230927,2.955333406,0.01019408,0.000245815,0.003595158,0.002783048,0.747973924,0.229277732,0.003103144,0.002827099,3.006076277,3.109346991,3880.25,8238,3,4,0.629584329,1.067305003,14.00347372,2.990887537,9.88,57.48,5,1800,3400,Not a Migrant,572000,1,Africa,8,57.48,1,3.006076277,0,1,0,0,0,0,0,0,Least-Concern,increasing,0,0,0,NO,16.5,48,46.1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Psittacidae,,Alipiopsitta,Yellow-faced Amazon,Alipiopsitta xanthops,Alipiopsitta_xanthops,Amazona xanthops,"Spix, 1824",,538,614,SA,"Brazil, Bolivia, Paraguay",N,N,N,,Y,Open cerrado,gallery forests,,,,,,,,1,1,,,,,1,,,,1,,"fruits, seeds",,,,,,,1,,,1,,1,,,,termites,,,,,,1,,,,1,,1,,,1,,,1,,,,,,,,Elliptical,40.4,31.4,,6.9,1900000,600,1200,NT,,decreasing,,,1,1,,1,,,,,,0.460965037,0.39480171,464.2869424,0.440301768,1.35002707,4.937599522,0.110486378,0.001824072,0.00108134,0.058029568,0.737506972,0.052858132,0.017538984,0.020674554,1.767393868,1.83381437,2604,5490,2,2,0.797276006,1.840815558,14.77124865,5.160924421,-14.14,327.37,NA,600,1200,Nomadic,2700000,1,South-America,5,327.37,1,1.767393868,0,0,1,1,0,1,1,0,Near-Threatened,decreasing,1,1,0,NO,26.5,260,75.2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
